dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
SuperRare,Marketplaces,17,Ethereum,0,3271,null,Live,"May 25th, 2018",MIT
Crowdholding,Social,1,Ethereum,0,0,https://github.com/crowdholding/yup-token?utm_source=StateOfTheDApps,Beta,"Feb 28th, 2019",Proprietary
NeoWorld,Games,13,Ethereum,0,0,null,Live,"May 2nd, 2019","Proprietary, Unity3D"
Bancor Network (EOS),Exchanges,85,EOS,36,114371,https://github.com/bancorprotocol/contracts?utm_source=StateOfTheDApps,Live,"Nov 7th, 2018",Unknown license
Dragon Option,Games,146,EOS,0,11535,null,Live,"Jul 20th, 2019",Proprietary
Peak Monsters,Marketplaces,111,Steem,0,10370,null,Live,"Dec 18th, 2018",Unknown license
Dether,Marketplaces,9,Ethereum,16,0,https://github.com/dethertech?utm_source=StateOfTheDApps,Live,"Aug 11th, 2017",Unknown license
Restaurant Private I,Social,4,Ethereum,0,0,https://github.com/LunchMoneyToken/LunchMoney?utm_source=StateOfTheDApps,Beta,"Jan 13th, 2019",Proprietary
Solitaire Duel,Games,217,EOS,0,632,null,Live,"Feb 11th, 2019",Unknown license
DCLICK,Media,30,Steem,0,0,https://github.com/kws4679/dclick?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",Unknown license
merkleX,Exchanges,8,Ethereum,6,0,https://github.com/MerkleX/Decentarlized-Clearing-Network?utm_source=StateOfTheDApps,Live,"Apr 26th, 2019","Proprietary, MIT"
Adbank Inc,Media,4,Ethereum,5,0,https://github.com/AdBank?utm_source=StateOfTheDApps,Live,"Nov 6th, 2018",Unknown license
Dragonereum,Games,3,Ethereum,0,169,https://github.com/dragonereum?utm_source=StateOfTheDApps,Live,"Mar 26th, 2018",WTFPL
X Cloud,Storage,2,Ethereum,165,0,https://github.com/Internxt?utm_source=StateOfTheDApps,Live,"Jan 5th, 2019",GPL
Origin Protocol,Marketplaces,1,Ethereum,3484,0,https://github.com/originprotocol?utm_source=StateOfTheDApps,Live,"Oct 4th, 2018",MIT
Burner Wallet,Wallet,4,xDai,22,10,https://github.com/austintgriffith/burner-wallet?utm_source=StateOfTheDApps,Live,"Feb 22nd, 2019",Unknown license
Playtowin,Gambling,1024,Ethereum,0,194354,null,Live,"Dec 11th, 2018",Unknown license
AVXChange,Media,2,Ethereum,0,0,https://github.com/avxchange?utm_source=StateOfTheDApps,Beta,"May 1st, 2019",Unknown license
World of Ether,Games,4,Ethereum,0,67,https://github.com/WorldOfEther?utm_source=StateOfTheDApps,Live,"Oct 6th, 2018",Proprietary
Republic Protocol,Exchanges,85,Ethereum,31,0,https://github.com/republicprotocol?utm_source=StateOfTheDApps,Live,"Jul 6th, 2018",Unknown license
Loom Network,Social,62,Ethereum,714,0,https://github.com/loomnetwork?utm_source=StateOfTheDApps,Live,"Jul 6th, 2018",Unknown license
Totle,Exchanges,2,Ethereum,14,225,https://github.com/TotlePlatform?utm_source=StateOfTheDApps,Live,"Jun 5th, 2018",proprietary
Ethos,Wallet,18,Ethereum,0,0,https://github.com/d11e9/ethos?utm_source=StateOfTheDApps,Live,"Aug 26th, 2015",MIT
Fundition,Finance,1,Steem,0,0,https://github.com/fundition/fundition?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",GNU AGPLv3
Gnosis,Exchanges,10,Ethereum,3266,0,https://github.com/gnosis?utm_source=StateOfTheDApps,Live,"Jan 26th, 2017",Unknown license
Sentinel dVPN,Storage,19,Ethereum,333,0,https://github.com/sentinel-official?utm_source=StateOfTheDApps,Prototype,"Jun 5th, 2018",MIT
DSound,Media,25,Steem,0,0,https://github.com/dsound?utm_source=StateOfTheDApps,Live,"Dec 17th, 2018",Unknown license
FriendsFingers,Finance,10,Ethereum,32,0,https://github.com/friendsfingers?utm_source=StateOfTheDApps,Live,"Feb 24th, 2018",MIT
Engrave,Social,5,Steem,1,0,https://github.com/wise-team/engrave?utm_source=StateOfTheDApps,Live,"Jan 13th, 2019",Unknown license
KnownOrigin Marketplace,Marketplaces,9,Ethereum,78,1977,https://github.com/knownorigin/known-origin-web3-marketplace?utm_source=StateOfTheDApps,Live,"Apr 17th, 2018",MIT
