Name,category,Balance,User,Volume24,Volume7d,Txn24,Txn7d,platform,github,smartContract
Early Challenge - _©µ_ëï_Ö,gambling,225.51,5,0,90,5,78,  EOS,null,0
Unlimited Tower ä_î¥,games,0,5,0,0,8,20,  EOS,null,0
Gameboy,gambling,191.23,4,31,248,166,1200,  EOS,null,1
OneDex,exchanges,0,4,0,77,21,139,  EOS,null,0
ACE - æ_ï_ / Smash Eggs,gambling,193.57,4,5,129,32,526,  EOS,null,4
EOS.Win,gambling,1400,4,0,0,4,5,  EOS,null,3
EOSTiger,gambling,588.08,4,1,19,4200,30500,  EOS,null,0
Name Bazaar,other,0,4,0,0,4,56,  ETH,null,8
Eggfrenzy,gambling,0.25,4,6,18,16,56,  ETH,null,1
CryptoAtoms,collectibles,0.4,4,2,4,13,25,  ETH,['https://github.com/Project312/CryptoAtoms'],4
CryptoCities.net,games,7.25,4,0,4,6,65,  ETH,null,6
CryptoFlowers,collectibles,0.02,4,0,2,4,73,  ETH,null,1
Tornado Cash,other,8.1,4,60,1400,8,125,  ETH,null,1
King Token,high-risk,0,4,0,0,21,1100,  ETH,null,1
TradePass,exchanges,0,4,517,55500,4,32,  ETH,null,1
Dragonereum,games,0.79,4,14,177,5,37,  ETH,null,40
Nuo Network,other,0,4,0,0,228,1800,  ETH,['https://github.com/NuoNetwork'],8
Ethereum Alarm Clock,other,0,4,6100,6500,7,21,  ETH,null,15
ChickenHunt,games,8.65,4,0,0,13,129,  ETH,null,2
TRONRAIDER,gambling,45900,4,5,45,5,37,  TRON,null,2
EtherMium,exchanges,27.85,4,20,133,28,49,  ETH,null,1
Giveth,other,88.73,4,0,0,12,60,  ETH,null,1
Dapple Airdrops,other,1.75,4,0,14,10,36,  ETH,null,1
ETHERBOTS,games,542.05,4,0,334,9,121,  ETH,null,13
Xether,gambling,2000,4,302,4500,92,938,  ETH,null,2
TRONscratch,gambling,7000,4,1,5,6,29,  TRON,null,2
Green Rabbit's Wars,high-risk,0,4,0,0,35,151,  TRON,null,0
TronLease - TokenGoodies,other,279.000001,4,24,90,15,93,  TRON,null,3
PongBall,gambling,36800,4,6,1300,14,680,  TRON,null,1
Tronman,games,571.25,4,15,32,140,337,  TRON,null,0
SEED,other,0,4,0,1,11,1200,  ONT,null,0
ONTVegas,gambling,0,4,315,1400,114,652,  ONT,null,5
World of Ether,games,3.25,4,12,84,14,248,  ETH,null,0
dmail,other,1.69,3,0,0,6,88,  EOS,null,1
DeathCall,gambling,1.4,3,17,128,14,111,  EOS,null,0
BancorX,other,0,3,0,0,78,453,  EOS,null,0
EOSJOY,games,54.71,3,11,11,46,46,  EOS,null,5
MonsterEOS.io,games,6.02,3,0,0,49,352,  EOS,null,1
Gandhiji.io,high-risk,316.95,3,92,6000,3,122,  ETH,null,1
PLinc Hub,gambling,185.97,3,8,362,5,172,  ETH,null,3
Bank of Staked,other,15.49,3,3,40,7,99,  EOS,null,2
Indorse,other,0,3,0,0,5,17,  ETH,null,3
Ethereum Name Service,other,0,3,0,0,6,704,  ETH,null,1
Alchemy,other,0,3,0,0,5,106,  ETH,null,0
The Burn Token,other,41.44,3,94,521,4,56,  ETH,null,2
E-Jackpot,gambling,1.67,3,30,2900,3,294,  ETH,null,3
CryptoSpin,games,14.02,3,26,209,17,93,  ETH,null,0
Ethflipper,gambling,1.94,3,24,24,4,4,  ETH,null,1
BlockCities,games,0,3,40,1100,4,68,  ETH,null,2
ETH.TOWN!,games,72.35,3,0,0,10,14,  ETH,null,0
FairPlay,gambling,0,3,0,0,27,276,  ETH,null,1
Cryptovoxels,other,0,3,0,0,11,48,  ETH,null,0
Multis,other,0,3,0,0,3,27,  ETH,null,1
Three Kingdoms,games,57.05,3,0,23,3,29,  EOS,null,2
Goose Egg - ___,other,15.73,3,0,7,3,44,  EOS,null,1
TRON Torrent Farm,high-risk,0,3,0,0,7,109,  TRON,null,1
Herorats,games,109200,3,4,4,2000,19600,  IOST,null,1
xBET.GG,gambling,1100,3,14,364,127,1100,  TRON,null,1
Frag Toss,gambling,0,3,0,0,80,925,  TRON,null,4
SunDex,exchanges,9100,3,4,291,8,106,  TRON,null,5
SafeMath,high-risk,233.487544,3,0,1,4,36,  TRON,null,1
SPOKpark,gambling,0,3,0,12,1400,10100,  TRON,null,0
ITAM Mobile Store,other,23.09,3,0,3,929,2600,  EOS,null,0
TronKDD,gambling,4800000,2,5700,113400,13,124,  TRON,null,0
DooTron,gambling,80100,2,0,0,2,5,  TRON,null,9
Compound,other,0,2,0,0,4,39,  ETH,null,1
The HODL Community,high-risk,2.98,2,0,0,8,65,  ETH,null,0
Numerai,other,0,2,0,0,12,510,  ETH,null,1
CryptoMotors,other,2.25,2,0,0,2,2,  ETH,null,2
EvolutionLand,games,2.26,2,0,0,3,14,  ETH,null,0
Kryptium,gambling,0.67,2,2,16,67,168,  ETH,null,7
TronWarBot,gambling,104800,2,1,42,6,77,  TRON,null,2
ExoPlanets,games,0,2,0,0,3,17,  ETH,null,6
SnailTree,high-risk,1.18,2,0,2,3,25,  ETH,null,1
Ethlance,other,3.26,2,0,0,3,22,  ETH,null,0
ETH Bank Pro,high-risk,0.2,2,40,42,2,26,  ETH,null,1
MARKET Protocol,exchanges,0,2,0,0,2,17,  ETH,null,3
Ethermon,games,0.05,2,0,0,4,21,  ETH,null,0
Hashworld,games,0,2,0,0,2,16,  ETH,null,2
